depth,dose,ssd,field_size
14.631813,46.13963,100,10
14.656824,46.06908085,100,10
14.681836,45.99853169,100,10
14.706848,45.92798254,100,10
14.731859,45.85743338,100,10
14.756871,45.78688423,100,10
14.781882,45.71516658,100,10
14.806894,45.64308221,100,10
14.831906,45.57099784,100,10
14.856917,45.49891347,100,10
14.881929,45.4268291,100,10
14.906941,45.35474473,100,10
14.931952,45.28266036,100,10
14.956964,45.21057599,100,10
14.981976,45.13849162,100,10
15.006987,45.06640724,100,10
15.031999,44.99714115,100,10
15.057011,44.92873973,100,10
15.082022,44.86033855,100,10
15.107034,44.79193713,100,10
15.132046,44.72353595,100,10
15.157057,44.65513453,100,10
15.182069,44.58673311,100,10
15.20708,44.51833194,100,10
15.232092,44.44993052,100,10
15.257104,44.38152909,100,10
15.282115,44.3119467,100,10
15.307127,44.24201031,100,10
15.332139,44.17207392,100,10
15.35715,44.10213728,100,10
15.382162,44.03220089,100,10
15.407174,43.9622645,100,10
15.432185,43.89232811,100,10
15.457197,43.82239172,100,10
15.482209,43.75245533,100,10
15.50722,43.68251869,100,10
15.532232,43.61552322,100,10
15.557243,43.54938803,100,10
15.582255,43.48325209,100,10
15.607267,43.41711567,100,10
15.632278,43.35097876,100,10
15.65729,43.28484112,100,10
15.682302,43.21870274,100,10
15.707313,43.15256387,100,10
15.732325,43.08642451,100,10
15.757337,43.02028442,100,10
15.782348,42.95286053,100,10
15.80736,42.88506991,100,10
15.832372,42.8172793,100,10
15.857383,42.74948868,100,10
15.882395,42.68169807,100,10
15.907407,42.61390745,100,10
15.932418,42.54611684,100,10
15.95743,42.47832622,100,10
15.982441,42.41053561,100,10
16.007453,42.34274499,100,10
16.032465,42.27792076,100,10
16.057476,42.21392351,100,10
16.082488,42.14992552,100,10
16.1075,42.08592704,100,10
16.132511,42.02192783,100,10
16.157523,41.95792788,100,10
16.182535,41.89392768,100,10
16.207546,41.82992676,100,10
16.232558,41.7659251,100,10
16.25757,41.70192294,100,10
16.282581,41.63686933,100,10
16.307593,41.57152977,100,10
16.332604,41.50619021,100,10
16.357616,41.44085065,100,10
16.382628,41.37551085,100,10
16.407639,41.31017129,100,10
16.432651,41.24483173,100,10
16.457663,41.17949217,100,10
16.482674,41.11415261,100,10
16.507686,41.04881305,100,10
16.532698,40.98638309,100,10
16.557709,40.92472525,100,10
16.582721,40.86306767,100,10
16.607733,40.80140983,100,10
16.632744,40.73975224,100,10
16.657756,40.67809441,100,10
16.682768,40.61643682,100,10
16.707779,40.55477899,100,10
16.732791,40.4931214,100,10
16.757802,40.43146357,100,10
16.782814,40.36842647,100,10
16.807826,40.3050317,100,10
16.832837,40.24163643,100,10
16.857849,40.17824044,100,10
16.882861,40.11484395,100,10
16.907872,40.05144673,100,10
16.932884,39.98804902,100,10
16.957896,39.92465057,100,10
16.982907,39.86125164,100,10
17.007919,39.79785221,100,10
17.032931,39.73731121,100,10
17.057942,39.67749143,100,10
17.082954,39.61767164,100,10
17.107966,39.55785186,100,10
17.132977,39.49803183,100,10
17.157989,39.43821204,100,10
17.183,39.37839226,100,10
17.208012,39.31857247,100,10
17.233024,39.25875269,100,10
17.258035,39.1989329,100,10
17.283047,39.13714312,100,10
17.308059,39.07486909,100,10
17.33307,39.01259531,100,10
17.358082,38.95032154,100,10
17.383094,38.88804751,100,10
17.408105,38.82577373,100,10
17.433117,38.76349995,100,10
17.458129,38.70122593,100,10
17.48314,38.63895215,100,10
17.508152,38.57667813,100,10
17.533163,38.516957,100,10
17.558175,38.45784594,100,10
17.583187,38.3987344,100,10
17.608198,38.33962212,100,10
17.63321,38.28050935,100,10
17.658222,38.22139585,100,10
17.683233,38.16228186,100,10
17.708245,38.10316713,100,10
17.733257,38.04405192,100,10
17.758268,37.98493597,100,10
17.78328,37.92499843,100,10
17.808292,37.86486944,100,10
17.833303,37.80474046,100,10
17.858315,37.74461148,100,10
17.883327,37.6844825,100,10
17.908338,37.62435351,100,10
17.93335,37.56422453,100,10
17.958361,37.50409555,100,10
17.983373,37.44396657,100,10
18.008385,37.38383759,100,10
18.033396,37.32678369,100,10
18.058408,37.27042627,100,10
18.08342,37.21406837,100,10
18.108431,37.1577095,100,10
18.133443,37.10135037,100,10
18.158455,37.04499051,100,10
18.183466,36.98862992,100,10
18.208478,36.93226884,100,10
18.23349,36.87590727,100,10
18.258501,36.81954496,100,10
18.283513,36.7621045,100,10
18.308524,36.70442657,100,10
18.333536,36.64674865,100,10
18.358548,36.58907072,100,10
18.383559,36.53139255,100,10
18.408571,36.47371463,100,10
18.433583,36.4160367,100,10
18.458594,36.35835878,100,10
18.483606,36.30068085,100,10
18.508618,36.24300292,100,10
18.533629,36.18810435,100,10
18.558641,36.1338014,100,10
18.583653,36.07949845,100,10
18.608664,36.02519526,100,10
18.633676,35.97089231,100,10
18.658688,35.91658911,100,10
18.683699,35.86228616,100,10
18.708711,35.80798297,100,10
18.733722,35.75368002,100,10
18.758734,35.69937707,100,10
18.783746,35.64405864,100,10
18.808757,35.58852943,100,10
18.833769,35.53299998,100,10
18.858781,35.47747052,100,10
18.883792,35.42194106,100,10
18.908804,35.36641161,100,10
18.933816,35.31088215,100,10
18.958827,35.25535269,100,10
18.983839,35.19982299,100,10
19.008851,35.14429353,100,10
19.033862,35.09138038,100,10
19.058874,35.03899505,100,10
19.083886,34.98660897,100,10
19.108897,34.93422241,100,10
19.133909,34.88183512,100,10
19.15892,34.82944733,100,10
19.183932,34.77705905,100,10
19.208944,34.72467005,100,10
19.233955,34.6722803,100,10
19.258967,34.61989007,100,10
19.283979,34.56660798,100,10
19.30899,34.51315184,100,10
19.334002,34.45969618,100,10
19.359014,34.40624102,100,10
19.384025,34.35278659,100,10
19.409037,34.29933289,100,10
